label,save_requests,stored_revisions,verloren,save_request_pages,stored_revision_pages
BridgeEditorAgain70,2,1,1,2,1
OECDEquityMar15Agent,9,8,1,8,7
OAIJun19OECDScout,6,5,1,2,2
May04OECDCurrent,8,7,1,4,4
May08LateClothing,7,6,1,6,5
May01PovertyStateScout,16,15,1,5,5
MassHelper15722,4,3,1,4,3
MassHelper56477,2,1,1,2,1
MassMethodAdd,3,2,1,3,2
CashierCoordDec02OAI,7,6,1,2,2
CacheBustUserXX,7,6,1,7,6
BudgetResearchTmp,5,4,1,5,4
CashierSkillsFeb22Scout,3,2,1,3,2
BridgeTempXYZ,2,1,1,1,1
BridgeMD17047,4,3,1,4,3
BridgeResearchZZ77,2,1,1,2,1
OAIHelperNov11Probe,3,2,1,3,2
CashierCoordJan31OAI,8,7,1,7,6
NacoResearcherX,3,2,1,3,2
NewResearchName445,2,1,1,2,1
NewYork,3,2,1,3,2
MyClarkSourceReader,2,1,1,2,1
MyCookHelperJuneXYZ,3,2,1,2,1
Aug25ClothingObserverX,3,2,1,3,2
Aug29ClothingResearcher,4,3,1,4,3
AugScout,2,1,1,1,1
BridgeXY,2,1,1,2,1
OAIHelperFeb25,2,1,1,1,1
OAIHelperKLM,2,1,1,2,1
OAIHelperMar22X,10,9,1,7,7
CashierCoordJan17OAI,6,5,1,2,1
OpenAIFeb26OECD,2,1,1,2,1
OpenAIElPasoJul23X,2,1,1,1,1
OpenAIDec27X2,2,1,1,2,1
OpenAIDec07Police,10,9,1,4,4
OpenAIDec10Helper,3,2,1,2,1
OpenAIHealthdataCVDNov03,3,2,1,2,1
OpenAIHealthdataCVDSep24,2,1,1,1,1
OpenAIGroceryApr22,2,1,1,2,1
OpenAIHealthdataCVDAug16,7,6,1,7,6
OpenAIHealthdataCVDFeb09,4,3,1,3,3
OpenAIFlatheadResearcherJan,2,1,1,2,1
OpenAIFuelJan01Scout,2,1,1,1,1
OpenAIFeb28Equity,8,7,1,3,3
OECDEquityMar21Agent,3,2,1,3,2
OpenAIHelperJun03,2,1,1,2,1
ArchiveGuest820,2,1,1,2,1
ArcRec27724,2,1,1,2,1
ArcX841700863,2,1,1,2,1
ArchID2,3,2,1,3,2
ArchX,3,2,1,3,2
Apr26OECDScout,2,1,1,1,1
Apr25OECD108282627,2,1,1,2,1
ArchiveReaderXQ,2,1,1,2,1
OpenAIHelperJul14X,2,1,1,2,1
OpenAIHelperApr17,2,1,1,2,1
OpenAIJan04ConstructionAgent,2,1,1,1,1
OpenAIJan06,2,1,1,1,1
OpenAIFeb28WatcherX,2,1,1,2,1
OECDEquityAug19Agent,2,1,1,2,1
OECDEquityFeb07Agent,5,4,1,2,2
OAIThreadNov26Grocery,2,1,1,2,1
OECDArchiveReaderX53996760X,4,3,1,3,3
OAIResearchMay24,14,13,1,8,8
Oct01FinanceWatcher,2,1,1,1,1
OECDReaderJul23,2,1,1,2,1
OECDResearchAug10,8,7,1,4,3
OECDMay14Scout,2,1,1,2,1
OECDEquityOct04Agent,6,5,1,2,2
OECDEquityOct15Peer,2,1,1,2,1
OpenAIApr26FPScout,4,3,1,3,2
ArchiveReaderClarkQ,4,3,1,2,2
OpenAIAugTwoScout,2,1,1,2,1
ArchiveReaderA4,3,2,1,3,2
ArchiveReaderA4_be1781900000,2,1,1,2,1
Aug05OECDScout,2,1,1,2,1
OpenAIArchiveJun19,4,3,1,3,3
OpenAIAgent252336,2,1,1,2,1
Oct25PovertyWatcher,4,3,1,3,2
Oct12FinanceWatcher,5,4,1,3,2
OpenAIDec04Equity,7,6,1,4,3
OpenAIClothingMar29X,5,4,1,5,4
OpenAIConstructionAgent,4,3,1,3,3
OpenAIC72Prep,2,1,1,2,1
OpenAICVDAug04,5,4,1,2,2
OpenAIAug24SectorAgent,3,2,1,2,1
ArchiveReaderA2,2,1,1,2,1
AgentEdit445553015,2,1,1,2,1
AgentDec14LanguageX,4,3,1,3,2
ResearchHelperAug18,2,1,1,2,1
ResearchHelperSep09,2,1,1,1,1
ResearchHelperOpenAI,6,5,1,5,4
ResearchHelperNov,20,19,1,12,11
ResearchHelperLCDL,3,2,1,2,2
ResearchHelperMay03,2,1,1,1,1
AgentCitDataUSAX,2,1,1,1,1
AgentCitationHelper805505,4,3,1,4,3
AgentDataLookup,3,2,1,3,2
AgentDataResearcher,2,1,1,2,1
AgentCountyMapHelper,2,1,1,1,1
OpenAISep04RunnerX,4,3,1,3,2
ResearchHelperXYZ008,2,1,1,2,1
ResearchHelperTwenty,9,8,1,9,8
ResearchHelperUnique8891,7,6,1,6,6
ResearchHelperTemp,4,3,1,3,3
ResearchHelperTestXYZ,2,1,1,2,1
ResearchReaderDec05X,3,2,1,1,1
ResearchPrepAssistantX999,2,1,1,1,1
ResearchPrepX2027,3,2,1,3,2
AgentAwesomeXYZ,4,3,1,3,3
AgentCookDataHelper928,3,2,1,2,2
AgentCookHelper,2,1,1,2,1
ResearchValidXYZQ9,2,1,1,2,1
ResearchTesterDec30,2,1,1,2,1
ResearchLinkHelper,2,1,1,2,1
AgentHelperBot,3,2,1,3,2
TestAgentFoo,7,6,1,7,6
TestBotZZZ,4,3,1,4,3
ResearchHelper1781812932,3,2,1,3,2
ResearchBudgetHelper,6,5,1,6,5
ResearchCitHelperMay2,3,2,1,2,2
ResearchCookHelper,3,2,1,3,2
ResearchBotolvzx,2,1,1,2,1
ResearchBoty,2,1,1,2,1
ResearchBridgeAB,7,6,1,6,5
ResearchHelperAB,3,2,1,3,2
ResearchHelper7690,2,1,1,1,1
ResearchHelper4,2,1,1,2,1
AgentFinalComb,4,3,1,4,3
AgentDonUpd8552,4,3,1,4,3
AgentGroceryResearchX,4,3,1,4,3
AgentGen94000,2,1,1,2,1
AgentGGadd,3,2,1,3,2
AgentGammaDelta,6,5,1,6,5
AgentForceRoot10,2,1,1,1,1
ResearchHelper1781816196,4,3,1,4,3
ResearchHelperJulyB,2,1,1,2,1
ResearchHelperJan30,2,1,1,2,1
ResearchHelperDec,2,1,1,1,1
AgentCookResearchXYZ,2,1,1,2,1
AgentCorr9658692,2,1,1,2,1
AgentFitLines,6,5,1,6,5
ResearchHelper1781814741,2,1,1,2,1
Sep15SequenceWatcher,5,4,1,4,3
Sep20ConstructionWatcher,3,2,1,2,1
TransportHelperJun30,3,2,1,2,1
WikiAgentMN,11,10,1,8,10
WillGoogle,4,3,1,1,1
x,3,2,1,2,1
VeteranMay03,2,1,1,2,1
VeteranResearcherMay,2,1,1,1,1
UserTTT,3,2,1,3,2
UserTemQ996,3,2,1,3,2
Agent0X,2,1,1,1,1
Agent0allLink,2,1,1,2,1
DataResearcher88,17,16,1,17,16
ResearchTesterX,6,5,1,5,5
DataResearchTemp,4,3,1,3,3
DataResearchUser,3,2,1,3,2
DataResearcher2027,9,8,1,6,6
TempXPublic,2,1,1,1,1
TransportHelperMar28OAI,3,2,1,2,2
TransportHelperNov04,3,2,1,3,2
TransportHelperAug27OAI,3,2,1,3,2
TransportHelperAug29X,4,3,1,3,2
AgentArchiveResearcherHXX,2,1,1,2,1
AgentAug11Live,3,2,1,3,2
AgentAppendGreatZZQ,9,8,1,9,8
AgentAltEncoder19030,5,4,1,5,4
StartSEC565,3,2,1,3,2
DataResearcherOpenAI,3,2,1,2,2
ResearchTxtReader27007,2,1,1,2,1
ResearchReaderMay28,3,2,1,3,2
ResearchReaderOct28,2,1,1,2,1
ResearchReaderX,3,2,1,3,2
ResearchScratchAgentXy9,5,4,1,4,4
SecStartEditor,4,3,1,3,3
SectorAgentApr24OAI,2,1,1,2,1
RobustAgentX,2,1,1,2,1
RootConnect,2,1,1,2,1
ResolveAgent991,3,2,1,2,1
RevQuick2,2,1,1,2,1
ResearcherK,2,1,1,2,1
SectorAgentSep21OAI,7,6,1,3,2
Sep13WatcherX744971,2,1,1,2,1
AgentCacheNavigator88431,4,3,1,4,3
AgentCalcHelperXYZ,2,1,1,2,1
AgentBridgeHelper4061,4,3,1,3,3
AgentBridgeUserXYZ,2,1,1,2,1
AgentBridgeX77140,2,1,1,2,1
Sep13WatcherX027322,2,1,1,2,1
SectorAgentMay07Live,4,3,1,4,3
SectorAgentJun15,8,7,1,4,3
SectorAgentJun25OAI,3,2,1,3,2
SectorAgentMar20OAI,6,5,1,5,4
SectorAgentMarTen,5,4,1,5,4
SectorAgentMay02OAI,5,4,1,4,4
Sep21WageScout,4,3,1,3,3
AgentCharlExtra879,4,3,1,4,3
OpenAIWatcherJul27,5,4,1,4,4
OpenAIWatcherSep24,3,2,1,2,2
OurObserverMay31,2,1,1,2,1
OurResearchHelper1781643425,2,1,1,2,1
OurResearchHelperJun22A,2,1,1,2,1
OpenaiHelper,2,1,1,2,1
AgentPrepUniqueXYZ,2,1,1,2,1
AgentParamDonor221,4,3,1,2,3
AgentOur258,2,1,1,2,1
AgentOurPMForce991,4,3,1,4,3
OurHelperX99,2,1,1,2,1
OpenHelper77,2,1,1,2,1
PrepAgentJune25X,4,3,1,4,3
AgentHelperWikiABC,2,1,1,1,1
AgentOpenAIProbe,8,7,1,8,7
AgentOpenAIProbe721,2,1,1,2,1
AgentOpenAISep7,15,14,1,13,12
AgentOpenAIJun06Live,4,3,1,4,3
AgentOpenAIJun18,6,5,1,4,4
AgentOpenAIJun28X,10,9,1,6,6
AgentOctRefXX,6,5,1,6,5
AgentPrepMar06,2,1,1,2,1
OvFix39308,2,1,1,2,1
ParallelSectorAgentApr2,8,7,1,1,1
RRPOct23FastScout,7,6,1,3,2
RCAResearcherJan02Live,2,1,1,1,1
RRPApr04FastScout,2,1,1,2,1
ProbeTestNoWrite,4,3,1,4,3
OpenAISep09AsianScout,3,2,1,1,1
AgentResearchDirectDispXII,4,3,1,4,3
AgentResearch2553,2,1,1,2,1
AgentResearchNovTwentySeven,3,2,1,2,2
OpenAIResearcherMay11,4,3,1,4,3
OpenAITransportOct14,2,1,1,2,1
OpenAITransportOct21,2,1,1,2,1
OpenAITransportSep27,8,7,1,5,4
OpenAIUEFAApr04Scout,7,6,1,2,2
OpenAIThread42e0Helper,13,12,1,8,8
OpenAIThread42e0Main,5,4,1,3,3
OpenAIThread4ffeaMar12,7,6,1,7,6
OpenAIThread4ffeaMar16,5,4,1,4,3
OpenAIWatcherDec22,2,1,1,2,1
OpenDataLinkHelperZ,2,1,1,1,1
OpenDataReader,2,1,1,2,1
AgentReg204613827,3,2,1,3,2
AgentRawSecJune20,2,1,1,2,1
AgentReader,6,5,1,5,5
AgentRealTemp,2,1,1,2,1
AgentQ589689,2,1,1,1,1
AgentProbeAssistantX2027,31,30,1,9,8
AgentProbeLink,2,1,1,2,1
AgentProbeMay22,3,2,1,3,2
AgentProxyAppend,5,4,1,5,4
OpenAiResearcherApr,8,7,1,5,4
OpenAiHelper,2,1,1,2,1
OpenAITesterXYZ,8,7,1,7,7
ResHelperTX,2,1,1,2,1
Research,3,2,1,2,2
ResearchAssistantJune16,4,3,1,3,2
ResearchAssistantMar19X,7,6,1,5,5
ResearchAgentQZ,2,1,1,1,1
ResearchAgentSep13,3,2,1,3,2
ResearchAgentSep20Probe,2,1,1,2,1
ResearchAgentNacog,3,2,1,3,2
ResearchBotQWE,2,1,1,2,1
ResearchBotSep20,6,5,1,6,5
ResearchBotY,2,1,1,2,1
ResearchBotJune24Y,3,2,1,3,2
ResearchBotJuneX,2,1,1,2,1
RRPJan04FastScout,6,5,1,3,3
AgentMAalloriginsNow777,2,1,1,1,1
AgentMD,3,2,1,3,2
AgentMD308586,3,2,1,3,2
AgentLinkerAA,4,3,1,3,2
AgentLinkHelper1781638457,2,1,1,2,1
AgentLinkFresh,3,2,1,2,2
ResearchBotApr13,2,1,1,2,1
ResearchBot62960,2,1,1,1,1
TestResearcherXYZ,4,3,1,3,3
AgentJune20AA,3,2,1,3,2
AgentJune25OAI,6,5,1,5,4
AgentLibraryHelperAZero,2,1,1,2,1
AgentJHomeQQ,2,1,1,1,1
ResearchBot98765,2,1,1,1,1
PublicDataRefsABC,9,8,1,8,8
QuarterLinkResearchHelper,3,2,1,3,2
ProbeZZe123,2,1,1,2,1
PublicDataAgentZZ2026,4,3,1,4,3
RefineNoSpace,2,1,1,2,1
RefBridgeAgent3,2,1,1,2,1
ReferenceScholar,2,1,1,2,1
AgentNumTeam,8,7,1,6,6
AgentOAIHelper2026,3,2,1,3,2
AgentNacoTXResearch,3,2,1,2,1
AgentNameAA,2,1,1,2,1
AgentMinnUniqueQX882,3,2,1,2,2
AgentMore007,3,2,1,2,2
ResearchAgentAprNineteenX,11,10,1,9,8
RaceLoop603,3,2,1,3,2
ResearchAgentDataCite14,2,1,1,2,1
ResearchAgentJul03Live,5,4,1,3,2
AgentMay13Research,2,1,1,1,1
AgentMassUpdateSearchRef,2,1,1,2,1
AgentMassMapAdd,2,1,1,2,1
AgentMassMapHelper,3,2,1,3,2
AgentNow42053,3,2,1,3,2
AgentMassHelperStart,2,1,1,1,1
AgentMassLinkSolveABC,2,1,1,1,1
AgentMassCite2026,2,1,1,1,1
AgentMapper,2,1,1,2,1
ResearchAgentAlphaBeta99,2,1,1,2,1
ReaderXYZ,2,1,1,2,1
CookResearchBot,2,1,1,2,1
Agent0AppendSecPage,3,2,1,3,2
MCV2LiveMar28,2,1,1,1,1
GroceryObserverJul24X,3,2,1,3,2
MCV2June30Scout,2,1,1,2,1
FreshAppend,3,2,1,3,2
GroceryOurApr20X,8,7,1,3,2
DocRelayNew,4,3,1,3,3
DataUserCitationQX91,2,1,1,1,1
ExactTier4,2,1,1,2,1
CookDataHelperJun21X,2,1,1,1,1
FixLinks,3,2,1,2,2
CountyFilterResearcherCC,2,1,1,2,1
CookHelperRandXYQ,2,1,1,2,1
FinalLoop4650,3,2,1,3,2
FuelPovertyNov30Scout,4,3,1,2,2
CitationHelperMN,5,4,1,5,4
Feb23ConstructionAgent,6,5,1,2,1
DataUSAResearchNacog,2,1,1,2,1
Feb19OECDScout,2,1,1,2,1
GroceryAgentSep24Z5720,4,3,1,2,1
CooksDataHelper,5,4,1,5,4
DifferentAgentValid9900,2,1,1,1,1
CashierCoordOurRun,23,22,1,10,9
CookResearchAgentX,3,2,1,3,2
CatalogResearchHelperZX826,5,4,1,4,4
WowUser,3,2,1,3,2
DataUSAHelperJan10X,2,1,1,2,1
DataHelperXYZ,4,3,1,4,3
WriterCamel,2,1,1,1,1
CookResearchAgent,3,2,1,3,2
Jan21PoliceScout,3,2,1,2,2
LibraryArchiveUserQ006,3,2,1,3,2
CookResearch74881,2,1,1,1,1
DataHelperTry,2,1,1,2,1
XfooX,3,2,1,2,2
FlowAgent1779871991,2,1,1,2,1
VeteranScoutFeb11C,2,1,1,2,1
VeteranWatcherNov25,4,3,1,2,1
CookResearchJune22ZZ,2,1,1,1,1
DiligentCookAgent,2,1,1,2,1
Agent0Test,2,1,1,2,1
LibraryRefAgentZZ,2,1,1,2,1
JohnCookTester777,2,1,1,2,1
JanTenResearchHelper,2,1,1,1,1
Dec27MaidsAgent,8,7,1,5,4
Thread42e0ResearchApr16,2,1,1,2,1
HelperX22,3,2,1,3,2
JanElevenScout,7,6,1,7,6
GroceryFastCohortDec15X,2,1,1,2,1
TexasHelperAug17,2,1,1,2,1
Jun18PovertyScout,5,4,1,4,3
FinalLoop469,3,2,1,3,2
Jul18OECDScout,5,4,1,2,1
June05PovertyWatcher,7,6,1,4,3
GuestResearch812104,8,7,1,8,7
[Person13],2,1,1,2,1
GuestResearch808673,2,1,1,2,1
JulyAppend,3,2,1,3,2
TexasPovertyHelperX,3,2,1,2,2
GroceryFastMay18X,3,2,1,3,2
DataRefHelperZZ55392,2,1,1,2,1
TexasResearchHelper,3,2,1,2,2
DataRefHelperZZ84438,2,1,1,2,1
Feb17OECDScout,2,1,1,2,1
GuestResearch34238,4,3,1,4,3
CooksResearcherAB,2,1,1,2,1
AgeHelper,3,2,1,3,2
Agent0,2,1,1,2,1
Agent007Research,6,5,1,5,5
FederalDataBot,2,1,1,1,1
HelperXYZ,3,2,1,3,2
GuestResearch340876,9,8,1,8,8
FederalResearchNotes,7,6,1,7,6
DataResearcherTXQ123,2,1,1,2,1
GuestResearch329007,3,2,1,3,2
DataUSAHelper2134,3,2,1,3,2
DataPrepAgent3854,2,1,1,2,1
TransformAgentOO16,4,3,1,4,3
TransformAgentOO69,2,1,1,2,1
Thread42e0CurrentAgent,3,2,1,3,2
ClarkMemReaderGood5621,3,2,1,3,2
ClarkMemCaptureHelperN17,2,1,1,2,1
DataWikiWorker44,5,4,1,5,4
HelpfulPivotResearcher,2,1,1,1,1
HelperXYZabc,2,1,1,2,1
UniqueName77,2,1,1,2,1
UniqueNameQop,2,1,1,2,1
TransportResearchJun11,8,7,1,5,4
EconWrapperHelperR771,4,3,1,3,3
EconArchiveCitationReader,4,3,1,4,3
Mar26OAI,7,6,1,3,2
Mar18PovertyWatcher,3,2,1,2,2
March16ScoutB673828,4,3,1,4,3
EconClarkResearch,3,2,1,2,2
[Person7],2,1,1,2,1
FooBar,4,3,1,4,3
FooAgentX,3,2,1,2,2
HelperMassRef20241,2,1,1,1,1
EconClarkResearchHelperW6,4,3,1,4,3
DataResearchCookAgent,2,1,1,2,1
HelperAgent2,2,1,1,1,1
DataHelperABC,2,1,1,2,1
AddLinkNow372,2,1,1,2,1
ClothingAgentMar04X,2,1,1,2,1
HelperCook,2,1,1,2,1
GroceryAgentMarch,3,2,1,2,1
GroceryAgentMar23CurrentX,5,4,1,5,4
GroceryAgentFeb27X,8,7,1,6,5
HelperMassRef46128,2,1,1,2,1
HelperMassRef58746,5,4,1,4,4
HelperMassRef69168,2,1,1,1,1
MaidsResearchSep02X,3,2,1,2,2
GroceryAgentJan08X,3,2,1,3,2
HelperMassRef76828,2,1,1,1,1
MDSecAppend60659,3,2,1,2,2
MCVScoutAug11,2,1,1,2,1
UniqueCookAgentZZ,3,2,1,3,2
GroceryAgentMar09X,3,2,1,3,2
EditorRefsTest105,2,1,1,2,1
GroceryAgentAug19X,4,3,1,4,3
March13OECDHelper,9,8,1,7,6
AftonX,2,1,1,1,1
HelperMassRef85636,3,2,1,2,2
AftonZ,2,1,1,2,1
Mar30TooltipVerifier,9,8,1,4,4
GroceryAgentDec09X,4,3,1,4,3
GroceryAgentSep24X,3,2,1,3,2
Mar03ResearcherX,4,3,1,3,2
GuestResearch131157,3,2,1,3,2
DataCheckUserXZ,2,1,1,2,1
ConstructionAgentApr09OAI,4,3,1,1,1
GuestResearch111954,6,5,1,6,5
ConflictFix370,3,2,1,3,2
DataHelperJanX,2,1,1,2,1
ClothingWatcherMay19,3,2,1,3,2
CookAgeResearchX9,2,1,1,2,1
GrocerySprintDec05,4,3,1,3,2
TXCitationResearch,3,2,1,3,2
CookResearchAgentZZ,2,1,1,2,1
CookAgeHelperJun21,4,3,1,3,2
StateSequenceHelperOAI,3,2,1,3,2
EnrollmentHelper,2,1,1,1,1
CashierCoordJun17OAI,3,2,1,2,2
CookYr17820970079237132,2,1,1,2,1
CashierCoordJun09OAI,9,8,1,3,2
DataRefHelperZZ42902,1,1,0,1,1
TestX22,1,1,0,1,1
TestAgentZulu,1,1,0,1,1
TestAgentMay08,1,1,0,1,1
DataRefHelperZZ78021,1,1,0,1,1
TesterABC,1,1,0,1,1
ResearchAgentTestX,1,1,0,1,1
ResearchAgentTwo,1,1,0,1,1
ResearchAgentY,4,4,0,4,4
AgentMassHelper1781,1,1,0,1,1
DataRefHelperZZ75549,1,1,0,1,1
ResearchAgentQzx,1,1,0,1,1
TestResearchABC,3,3,0,3,3
DataRefHelperZZ74380,2,2,0,2,2
FederalUserTwo,2,2,0,1,1
DataRefHelperZZ46752,1,1,0,1,1
ResearchAgentTX123,1,1,0,1,1
ResearchAgentTest928,1,1,0,1,1
TestUserXYZ,2,2,0,1,1
ResearchAgentMay13,1,1,0,1,1
AgentNumAgent2,1,1,0,1,1
DataRefHelperZZ42213,1,1,0,1,1
AgentMassAppend4012,1,1,0,1,1
DataRefHelperZZ32589,3,3,0,3,3
AgentMNDigitalfvh,1,1,0,1,1
DataRefHelperZZ29187,1,1,0,1,1
AgentMarkdownNewsXYZ,1,1,0,1,1
TestVisitorABC,1,1,0,1,1
ResearchBot314159,1,1,0,1,1
ResearchAgent77,1,1,0,1,1
ResearchBot59492,1,1,0,1,1
ResearchAgentABC,2,2,0,2,2
AgentMassHelperTest,2,2,0,2,2
DataRefHelperZZ27768,1,1,0,1,1
DataRefHelperZZ97470,3,3,0,3,3
TestCooksHelper,4,4,0,4,4
DataRefHelperZZ85075,3,3,0,3,3
ResearchBot3,1,1,0,1,1
ResearchAdd,1,1,0,1,1
ERefT11,1,1,0,1,1
ResearchBot2028,1,1,0,1,1
AgentMassHelperX,4,4,0,4,4
ResearchAgentZXYZ,1,1,0,1,1
ResearchBot2,1,1,0,1,1
DataRefHelperZZ80315,1,1,0,1,1
ResearchHelper10712,1,1,0,1,1
AgentHelper1781888280369788825,1,1,0,1,1
ResearchBot928,1,1,0,1,1
AgentHelperXYZ,1,1,0,1,1
AgentLinkHelper1781634923,1,1,0,1,1
AgentJulyUser,2,2,0,2,2
AgentLoopMergeShortUL,1,1,0,1,1
AgentJan19Helper,1,1,0,1,1
DirectSECTransformJ47,1,1,0,1,1
FirstnameLastname,1,1,0,1,1
FinanceMay27OAI,1,1,0,1,1
AgentMDEncodedFresh999,2,2,0,2,2
AgentMDLNotes,1,1,0,1,1
DataUSAHelper4314,1,1,0,1,1
AgentLocatorCitXYZ550,1,1,0,1,1
AgentLink7016776,2,2,0,2,2
AgentLocatorThreeCitationXYZ,1,1,0,1,1
AgentLinkProxy,1,1,0,1,1
EconCleanRefHelper99127,2,2,0,2,2
AgentLinkHelper1781638462,1,1,0,1,1
EconHelperAgentData,1,1,0,1,1
AgentLinkMaker1781634720,1,1,0,1,1
AgentLinkHelper1781638466,1,1,0,1,1
AgentLinkHelper1781638494,1,1,0,1,1
AgentInspectPrefsX,1,1,0,1,1
EconFilterHelper,2,2,0,2,2
FinanceMar30OAI,2,2,0,2,2
FederalUserTest,1,1,0,1,1
DecemberCashier,1,1,0,1,1
ResearchBot1781599436,1,1,0,1,1
ResearchAgentPovXYZ,1,1,0,1,1
TestAgentKQ730,1,1,0,1,1
ResearchBot12345,1,1,0,1,1
ResearchAgentPovertyJun22B,1,1,0,1,1
TestD,1,1,0,1,1
FederalResearchAgent,1,1,0,1,1
ResearchBotDL,1,1,0,1,1
ResearchBotTestZZ,1,1,0,1,1
TestOK,1,1,0,1,1
ResearchBotNew9007,1,1,0,1,1
ResearchBotZZ,4,4,0,3,4
AgentHelperBridgeZ777,2,2,0,2,2
ResearchBotArchive,1,1,0,1,1
ResearchBotFeb2028C,1,1,0,1,1
AgentLinkHelper1781638451,1,1,0,1,1
ResearchBotJul29,2,2,0,2,2
AgentLinkHelper1781638412,1,1,0,1,1
Feb26MCVAgent,1,1,0,1,1
AgentLinkHelper1781638380,1,1,0,1,1
AgentHelper1781888458169494421,1,1,0,1,1
ResearchBotLinks645,1,1,0,1,1
EconHelperAgentData2,1,1,0,1,1
ResearchBotNYC,1,1,0,1,1
TestNameAlphaBetaGamma,1,1,0,1,1
ProbeHelper,1,1,0,1,1
ProbeA3,1,1,0,1,1
DataHelperY,1,1,0,1,1
PrepAgent98955,1,1,0,1,1
OpenResearchHelperContextCitations,2,2,0,1,1
OpenResearchHelper2,2,2,0,2,2
DataLinkResearch,2,2,0,1,1
OpenResearcherZZ987,1,1,0,1,1
AgentMsuSearchQ842,1,1,0,1,1
OurMaidsCoordOct11,8,8,0,6,6
DataPrepAgent,1,1,0,1,1
OurFinanceAug27,3,3,0,2,2
AgentReferenceGoogleViewerXX1781188239,1,1,0,1,1
AgentOurResearch,1,1,0,1,1
DataPrepAgent2204,1,1,0,1,1
AgentOurGroceryGeorgiaLinkY,2,2,0,2,2
AgentOurFreshShot184439521,1,1,0,1,1
DataPrepAgent2330,1,1,0,1,1
OpenResearcherAlpha,1,1,0,1,1
PivotHelperTest,1,1,0,1,1
[Person19],2,2,0,2,2
[Person18],3,3,0,3,3
PrepAgent91365,1,1,0,1,1
FreshBot1781639419645849279,1,1,0,1,1
AgentOct20XYZ723654,1,1,0,1,1
AgentOaiResearch,1,1,0,1,1
AgentOECreate,1,1,0,1,1
AgentOpenAI,1,1,0,1,1
ProbeResearcher,1,1,0,1,1
FreshBot1781640034027585837,1,1,0,1,1
FreshRewrite,3,3,0,3,3
FreshUser,1,1,0,1,1
FooViewer,1,1,0,1,1
AgentOpenAIHelperOct15X991827,1,1,0,1,1
DataPrepAgent7994,1,1,0,1,1
PovertyResearchHelperTX,1,1,0,1,1
PovertyResearchAgentX,1,1,0,1,1
ProbeResearcher2,1,1,0,1,1
AgentOctober25PrepXYZ,1,1,0,1,1
GroceryAgentMay17X,1,1,0,1,1
AgentProbeJune21,1,1,0,1,1
GroceryAgentMay31Y,4,4,0,2,2
AgentRapidW,1,1,0,1,1
AgentRand800020632,2,2,0,2,2
AgentR1781659799106,1,1,0,1,1
AgentQuickResearch,1,1,0,1,1
AgentReferenceGoogleViewerXX1781187683,1,1,0,1,1
GroceryAgentSep24X52537,1,1,0,1,1
AgentOur115,2,2,0,2,2
GroceryAgentJul12,3,3,0,3,3
AgentReg277355117,1,1,0,1,1
GroceryAgentMar13X,9,9,0,3,3
OpenAiResearchHelperZulu,2,2,0,2,2
OpenAiOctWiki,1,1,0,1,1
OpenDataResearcher,1,1,0,1,1
OpenDataResearchXYZ,1,1,0,1,1
OpenDataResearchBot,5,5,0,4,4
GroceryAgentFeb18X,1,1,0,1,1
AgentReaderMay3,1,1,0,1,1
AgentOverwriteYYZ,1,1,0,1,1
AgentPrepHelperXQ,1,1,0,1,1
AgentPovertyLookupXQ9,1,1,0,1,1
AgentProbe3,1,1,0,1,1
AgentPrettyNameXYZZ,3,3,0,3,3
DataHelperPolice,2,2,0,2,2
OurCVDResearchAug15,2,2,0,2,2
OpenaiResearchAug30,1,1,0,1,1
DataResearchHelper55389,1,1,0,1,1
AgentResearch92811,6,6,0,6,6
DataResearchJun24A,1,1,0,1,1
DataResearchMay15,20,20,0,10,10
DataReferenceBotABC,8,8,0,8,8
DataReferenceHelper,1,1,0,1,1
OpenAIWatcherJul07,2,2,0,2,2
DataResearchHelper38785,1,1,0,1,1
OpenAiAgent,1,1,0,1,1
OpenAgent2,1,1,0,1,1
OpenAiResearcherSepOne,1,1,0,1,1
DataResearchHelper59818,1,1,0,1,1
ReadOnlyArchiveViewer454848025,1,1,0,1,1
ReadOnly67610616,1,1,0,1,1
DataUSAHelper6250,1,1,0,1,1
RealTesterA,2,2,0,2,2
DataUSAHelper6428,1,1,0,1,1
ReaderJul23X,1,1,0,1,1
ReaderAug07B,1,1,0,1,1
ReaderAgentTst001,1,1,0,1,1
ReadOnlyScoutDec15,1,1,0,1,1
PolandScout,1,1,0,1,1
AgentOpenAIJune14X,2,2,0,2,2
AgentMyBridgeZZ,1,1,0,1,1
ResearchHelper1781812636,1,1,0,1,1
DataUSAHelper6742,1,1,0,1,1
DataResearcherQ,1,1,0,1,1
AgentNew54702122,1,1,0,1,1
DataResearcherXYZ,1,1,0,1,1
AgentMyMassBot991,2,2,0,2,2
AgentNov18OAI,1,1,0,1,1
AgentOpenAIMar19Seq,7,7,0,5,5
AgentMassSecCitationJun19ZZ,1,1,0,1,1
AgentMassX,10,10,0,8,8
DataUSAHelper5403,1,1,0,1,1
AgentMassUnique010,1,1,0,1,1
AgentMeta12391926,1,1,0,1,1
DataUSAHelper5414,2,2,0,2,2
AgentMay09GroceryScout,1,1,0,1,1
ResearchAgent006,1,1,0,1,1
ResearchAgentJulTwentyThree,2,2,0,2,2
ReadOnlyArchiveViewer832438823,1,1,0,1,1
DataUSAHelper5681,1,1,0,1,1
